mesto,avtor,naslov,producent,leto,zalozba,album
367,Martha and the Vandellas,Nowhere to Run,"Brian Holland, Dozier",65,Gordy<br />11 weeks; No. 8,The Ultimate Collection&#xA0;
366,The Jimi Hendrix Experience,Little Wing,Chas Chandler,68,Reprise<br />Non-single,"""/music/music-album-reviews/axis-bold-as-love-252178/""  target=""_blank""  rel=""nofollow""  >Axis: Bold as Love"
365,Eurythmics,Sweet Dreams (Are Made of This),Stewart,83,RCA<br />26 weeks; No. 1,"""/music/music-album-reviews/sweet-dreams-are-made-of-this-246977/""  target=""_blank""  rel=""nofollow""  >Sweet Dreams"
364,Creedence Clearwater Revival,Bad Moon Rising,Fogerty,69,Fantasy<br />14 weeks; No. 2, Green River
363,Elvis Costello,Watching the Detectives,Nick Lowe,77,Columbia<br />Did not chart,"""/music/music-album-reviews/my-aim-is-true-201865/""  target=""_blank""  rel=""nofollow""  >My Aim Is True"
362,Eric Clapton,Tears in Heaven,Russ Titelman,92,Duck/Reprise<br />26 weeks; No. 2,&quot;Rush&quot; Soundtrack
361,Elvis Presley,All Shook Up,Steve Sholes,55,Mercury<br />24 weeks; No. 1,The Magic Touch: An Anthology&#xA0;
359,Little Eva,The Loco-Motion,Goffin,62,Dimension<br />16 weeks; No. 1,The Loco-Motion
358,Ben E. King,Spanish Harlem,"Mike Stoller, Leiber",60,Atco<br />16 weeks; No. 10,The Very Best of Ben E. King&#xA0;
357,The Isley Brothers,That Lady (Part 1 and 2),The Isley Brothers,73,T-Neck<br />20 weeks; No. 6,The Essential Isley Brothers&#xA0;
356,Elton John,Candle in the Wind,Gus Dudgeon,73,MCA,"""/music/music-album-reviews/goodbye-yellow-brick-road-249137/""  target=""_blank""  rel=""nofollow""  >Goodbye Yellow Brick Road</a>&#xA0;"
355,Dr. Dre and 2Pac,California Love,Dr. Dre,96,Death Row<br />24 weeks; No. 6,Greatest Hits 
354,Ritchie Valens,La Bamba,Bob Keane,58,Del-Fi<br />15 weeks; No. 22,The Ritchie Valens Story
353,Big Brother and the Holding Company,Piece of My Heart,John Simon,68,CBS<br />12 weeks; No. 12,"""/music/music-album-reviews/cheap-thrills-92561/""  target=""_blank""  rel=""nofollow""  >Cheap Thrills"
352,Lavern Baker,Jim Dandy,"Ahmet Ertegun,Jerry Wexler",56,Atlantic<br />19 weeks; No. 17,Soul on Fire: The Best of LaVern Baker
351,Dion,Runaround Sue,Gene Schwartz,61,Laurie<br />14 weeks; No. 1,Runaround Sue
350,Jimmy Cliff,The Harder They Come,Cliff,75,Mango<br />Did not chart,The Harder They Come
349,The Who,Baba O'Riley,"Glyn Johns, the Who",71,MCA<br />Non-single in U.S.,Who&#x2019;s Next
348,The Supremes,You Keep Me Hanging On,"Brian Holland, Dozier",66,Motown<br />12 weeks; No. 1,"""/music/music-album-reviews/toys-in-the-attic-100077/""  target=""_blank""  rel=""nofollow""  >Toys in the Attic"
345,U2,Beautiful Day,"Daniel Lanois, Brian Eno",00,Island<br />25 weeks; No. 1,"""/music/music-album-reviews/all-that-you-cant-leave-behind-202038/""  target=""_blank""  rel=""nofollow""  >All That You Can&#x2019;t Leave Behind</a>&#xA0;"
344,Michael Jackson,Beat It,Quincy Jones,82,Epic<br />25 weeks; No. 1,"""/music/music-album-reviews/thriller-106975/""  target=""_blank""  rel=""nofollow""  >Thriller"
343,The Rolling Stones,Wild Horses,Jimmy Miller,71,Rolling Stones<br />8 weeks; No. 28,"""/music/music-album-reviews/sticky-fingers-107725/""  target=""_blank""  rel=""nofollow""  >Sticky Fingers</a> "
342,The Velvet Underground,Sweet Jane,"The Velvet Underground, Shel Kagan, Geoffrey Haslam",70,Cotillion<br />Non-single,"""/music/music-album-reviews/loaded-111308/""  target=""_blank""  rel=""nofollow""  >Loaded (Fully Loaded Edition)"
341,Norman Greenbaum,Spirit in the Sky,Erik Jacobsen,70,Reprise<br />15 weeks; No. 3,Spirit in the Sky
340,Bob Dylan,Subterranean Homesick Blues,Tom Wilson,65,Columbia<br />8 weeks; No. 39,Bringing It All Back Home
